First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Shannon,Ritch,The Cannon,Sep 27 1970,5' 9",190 lbs.,--,Orthodox,56,83,0,--,1.00,100,6.00,50,0.00,0,0,0.0
Diego,Rivas,Pitbull,Nov 11 1991,5' 8",145 lbs.,69.0",Orthodox,10,2,0,--,1.37,40,2.14,52,1.79,60,64,0.9
Jorge,Rivera,El Conquistador,Feb 28 1972,6' 1",185 lbs.,73.0",Orthodox,20,9,0,--,3.16,48,2.64,54,0.84,50,63,0.1
Dante,Rivera,,Dec 08 1974,6' 1",185 lbs.,--,Southpaw,16,7,0,--,2.27,53,4.00,25,0.00,0,16,0.0
Mario,Rivera,,--,5' 10",170 lbs.,--,,6,8,0,--,0.00,0,8.41,20,0.00,0,0,0.0
Francisco,Rivera,Cisco,Oct 08 1981,5' 8",135 lbs.,70.0",Orthodox,11,7,0,--,4.07,41,3.16,68,1.01,63,68,0.6
Jonathan,Rivera,,--,--,155 lbs.,--,,4,2,0,--,4.36,49,3.90,60,0.00,0,0,0.0
Jimmie,Rivera,El Terror,Jun 29 1989,5' 4",135 lbs.,68.0",Orthodox,23,5,0,--,4.03,40,3.90,60,0.88,27,92,0.1
Irwin,Rivera,The Beast,Feb 14 1989,5' 6",135 lbs.,67.0",Southpaw,10,6,0,--,3.36,44,5.07,57,1.00,16,70,0.0
Jerome,Rivera,Renegade,Apr 22 1995,5' 10",145 lbs.,72.0",Southpaw,10,5,0,--,3.08,34,2.47,51,0.00,0,40,0.0
Nicdali,Rivera-Calanoc,The Night Queen,Jun 12 1985,5' 3",105 lbs.,--,,9,10,0,--,1.82,20,2.42,78,0.00,0,0,0.0
Pedro,Rizzo,The Rock,May 03 1974,6' 1",241 lbs.,--,Orthodox,20,11,0,--,1.93,34,3.02,50,0.26,28,78,0.0
Justin,Robbins,,Jul 29 1980,5' 5",135 lbs.,--,,14,18,1,--,0.67,37,3.20,47,0.00,0,0,0.0
Kali,Robbins,Pop Tart,Jul 05 1984,5' 3",115 lbs.,63.0",Orthodox,6,3,0,--,3.73,46,9.40,44,2.00,33,0,0.0
Karl,Roberson,Baby K,Oct 04 1990,6' 1",185 lbs.,74.0",Southpaw,9,4,0,--,2.87,51,2.38,57,0.92,57,45,0.7
Andre,Roberts,The Chief,Feb 24 1965,6' 2",345 lbs.,--,Orthodox,14,2,1,--,0.00,0,0.00,0,0.00,0,0,0.0
David,Roberts,,Nov 15 1975,6' 1",170 lbs.,--,Orthodox,5,8,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Joey,Roberts,,--,6' 2",200 lbs.,--,,4,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tyrone,Roberts,Native Warrior,--,5' 9",185 lbs.,--,Orthodox,43,12,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Ryan,Roberts,,Jul 16 1978,5' 6",155 lbs.,--,Orthodox,21,12,1,--,0.00,0,22.50,45,0.00,0,0,0.0
Taylor,Roberts,,--,5' 11",170 lbs.,--,,3,12,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Daniel,Roberts,Ninja,Aug 05 1980,5' 10",170 lbs.,74.0",Southpaw,15,7,0,--,0.73,20,2.27,46,2.46,44,40,2.5
Buddy,Roberts,,Oct 17 1982,6' 2",185 lbs.,--,Orthodox,12,3,0,--,2.17,34,2.08,70,0.00,0,76,0.7
Danny,Roberts,Hot Chocolate,Jul 14 1987,6' 1",170 lbs.,74.0",Southpaw,17,5,0,--,3.41,44,3.08,55,0.18,6,53,0.4
Roosevelt,Roberts,The Predator,Feb 11 1994,6' 2",155 lbs.,73.0",Orthodox,10,2,0,--,3.03,49,2.27,52,1.75,53,58,1.1
Kenny,Robertson,,Feb 14 1984,5' 10",170 lbs.,74.0",Orthodox,15,5,0,--,3.72,47,3.02,52,1.37,26,57,0.8
Gillian,Robertson,The Savage,May 17 1995,5' 5",125 lbs.,63.0",Orthodox,9,6,0,--,2.01,49,2.52,51,2.54,47,16,0.9
Chad,Robichaux,Robo,Aug 18 1975,5' 4",135 lbs.,--,,13,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mark,Robinson,White Rhino,--,6' 0",265 lbs.,--,Orthodox,1,0,0,--,0.00,0,5.80,13,0.00,0,0,0.0
Colin,Robinson,Big C,Nov 27 1968,6' 4",243 lbs.,--,Orthodox,10,12,0,--,6.19,69,7.91,37,2.58,100,50,5.2
Alvin,Robinson,,Jul 16 1982,5' 9",155 lbs.,68.0",Southpaw,15,9,0,--,1.57,50,1.29,51,1.24,50,25,1.2
Damonte,Robinson,,Jun 10 1995,6' 0",155 lbs.,77.0",,6,1,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Vagner,Rocha,Ceara,Jun 06 1982,5' 10",155 lbs.,73.0",Orthodox,14,4,0,--,2.64,42,4.50,48,1.40,33,50,1.9
Carlos Eduardo,Rocha,Ta Danado,Jul 12 1981,5' 10",170 lbs.,73.0",Orthodox,9,4,0,--,1.24,34,1.85,55,0.00,0,52,1.4
Keith,Rockel,Rock,--,6' 0",185 lbs.,--,Orthodox,12,4,1,--,1.13,73,0.21,66,4.63,75,100,4.6
Luke,Rockhold,,Oct 17 1984,6' 3",205 lbs.,77.0",Southpaw,16,5,0,--,4.18,48,2.43,56,0.67,30,68,1.1
Kevin,Roddy,K-Rod,--,5' 11",145 lbs.,--,,15,16,1,--,2.64,30,2.38,60,0.00,0,50,0.0
Bruno,Rodrigues,Korea,Jun 28 1991,5' 6",135 lbs.,--,,7,2,0,--,2.01,34,3.42,40,0.00,0,25,0.0
Gregory,Rodrigues,Robocop,Feb 17 1992,6' 3",185 lbs.,75.0",Orthodox,7,3,0,--,6.04,56,7.77,52,0.00,0,0,0.0
Kleydson,Rodrigues,KR,Oct 22 1995,5' 6",125 lbs.,--,,6,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Paul,Rodriguez,,--,5' 7",155 lbs.,--,Orthodox,10,9,2,--,0.84,100,1.68,68,0.00,0,50,0.0
Ricco,Rodriguez,Suave,Aug 19 1977,6' 4",265 lbs.,--,Orthodox,53,25,0,--,1.85,51,1.15,61,2.30,39,40,1.0
Manuel,Rodriguez,Chalate,Apr 25 1985,5' 9",170 lbs.,--,Orthodox,11,5,0,--,0.81,33,3.23,38,9.09,75,0,0.0
Yair,Rodriguez,El Pantera,Oct 06 1992,5' 11",145 lbs.,71.0",Orthodox,13,2,0,--,4.33,45,3.13,57,0.90,29,63,0.9
Mike,Rodriguez,Slo Mike,Nov 28 1988,6' 4",205 lbs.,82.0",Southpaw,11,6,0,--,4.61,59,3.39,40,0.00,0,41,0.0
Marina,Rodriguez,,Apr 29 1987,5' 6",115 lbs.,65.0",Orthodox,14,1,2,--,4.89,48,3.24,54,0.28,33,62,0.1
Daniel,Rodriguez,D-Rod,Dec 31 1986,6' 1",170 lbs.,74.0",Southpaw,14,2,0,--,7.87,48,5.69,57,1.06,55,78,0.2
Ray,Rodriguez,The Judge,Dec 10 1987,5' 7",135 lbs.,70.0",Orthodox,16,8,0,--,0.90,27,3.89,40,1.42,50,44,0.0
Luis,Rodriguez,Lazy Boy,May 07 1999,5' 6",125 lbs.,65.0",Orthodox,11,2,0,--,1.27,37,3.20,54,2.00,50,100,2.0
Drako,Rodriguez,,Jun 16 1996,5' 8",135 lbs.,69.0",Orthodox,7,2,0,--,2.57,35,2.57,26,2.75,100,0,2.8
Victor,Rodriguez,Vicious,Sep 05 1992,5' 5",125 lbs.,67.0",Switch,7,3,0,--,2.17,46,6.14,50,0.00,0,0,0.0
Nick,Roehrick,,Jul 06 1987,6' 2",205 lbs.,--,Orthodox,7,1,0,--,2.31,17,6.92,44,0.00,0,0,0.0
Marcos,Rogerio de Lima,Pezao,Jun 25 1985,6' 1",253 lbs.,75.0",Orthodox,18,8,1,--,3.24,54,2.11,53,1.14,66,43,0.6
Brett,Rogers,The Grim,Feb 17 1981,6' 5",265 lbs.,81.0",Orthodox,17,10,0,--,3.17,44,3.20,46,0.00,0,58,0.0
Brian,Rogers,The Professional Predator,Feb 15 1984,5' 11",185 lbs.,--,,14,9,0,--,4.79,38,5.76,58,1.22,50,100,0.6
Pete,Rogers Jr.,The Heat,--,6' 0",145 lbs.,--,,2,4,0,--,0.66,15,1.71,65,0.00,0,0,0.0
Max,Rohskopf,Rated R,Sep 27 1994,6' 1",155 lbs.,71.0",Orthodox,5,1,0,--,1.70,31,5.80,42,3.00,33,0,1.5
Marcelo,Rojo,Pitbull,Jul 02 1988,5' 8",145 lbs.,71.0",Orthodox,16,8,0,--,5.10,36,7.30,51,1.03,50,100,0.0
Shane,Roller,,Jul 14 1979,5' 10",155 lbs.,72.0",Orthodox,11,7,0,--,2.04,34,2.65,60,2.46,33,42,1.9
Jared,Rollins,J-Roc,Jan 26 1977,5' 9",170 lbs.,--,Orthodox,8,4,0,--,3.33,57,2.41,39,2.50,50,50,1.2
Tim,Roman,,Jun 08 1985,6' 1",170 lbs.,--,,3,4,0,--,0.60,40,2.40,40,1.00,100,16,0.0
Alexandr,Romanov,King Kong,Dec 11 1990,6' 2",262 lbs.,75.0",Southpaw,14,0,0,--,3.68,44,1.47,43,4.75,61,20,1.8
Ricardo,Romero,,Apr 15 1978,6' 0",205 lbs.,76.0",Orthodox,11,3,0,--,2.17,55,4.77,46,1.63,10,100,3.3
Yoel,Romero,Soldier of God,Apr 30 1977,6' 0",185 lbs.,73.0",Southpaw,13,5,0,--,3.44,49,3.05,60,1.57,30,78,0.0
Anthony,Romero,The Genius,Feb 25 1997,5' 11",155 lbs.,70.0",Orthodox,8,0,0,--,5.87,52,4.00,65,2.00,22,100,0.0
Mara,Romero Borella,,Jun 03 1986,5' 6",125 lbs.,69.0",Orthodox,12,9,0,--,2.54,37,2.48,71,1.83,44,66,0.2
Juancamilo,Ronderos,,--,--,125 lbs.,--,,4,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Rong,Zhu,,Mar 07 2000,5' 9",155 lbs.,71.0",Orthodox,17,4,0,--,2.80,40,6.40,45,3.00,75,100,0.0
Jesse,Ronson,The Body Snatcher,Dec 24 1985,5' 10",170 lbs.,70.0",Southpaw,21,10,0,--,3.54,49,2.99,59,0.63,40,61,0.6
George,Roop,,Nov 10 1981,6' 1",135 lbs.,72.0",Orthodox,15,13,1,--,3.43,34,2.47,60,1.05,57,59,0.1
Joao,Roque,,Jul 22 1971,5' 6",155 lbs.,--,Orthodox,7,2,4,--,0.00,0,0.00,0,0.00,0,0,0.0
Aaron,Rosa,,May 28 1983,6' 4",205 lbs.,77.0",Orthodox,18,6,0,--,4.03,47,4.41,45,0.36,33,85,0.4
Charles,Rosa,Boston Strong,Aug 24 1986,5' 9",145 lbs.,69.0",Switch,13,5,0,--,3.11,37,3.78,48,1.76,32,40,1.0
Karol,Rosa,,Dec 30 1994,5' 5",135 lbs.,67.0",Orthodox,14,3,0,--,7.73,52,5.51,48,2.00,60,90,0.0
Jacob,Rosales,Lil Badger,Jul 28 1995,5' 11",155 lbs.,--,Orthodox,10,5,0,--,6.76,49,12.00,41,0.00,0,50,1.3
Hilarie,Rose,,Nov 11 1992,5' 3",115 lbs.,63.0",Orthodox,4,2,0,--,2.33,33,6.13,44,0.00,0,100,0.0
Jake,Rosholt,,Feb 09 1982,6' 1",185 lbs.,--,Orthodox,12,5,0,--,2.68,53,2.33,49,6.51,68,0,1.8
Jared,Rosholt,,Aug 04 1986,6' 2",265 lbs.,75.0",Orthodox,14,4,0,--,2.08,46,1.52,59,1.83,41,66,0.1
Kevin,Rosier,,--,6' 4",275 lbs.,--,Orthodox,2,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Zach,Rosol,,--,--,243 lbs.,--,,3,2,0,--,0.00,0,14.21,25,0.00,0,0,0.0
Nick,Rossborough,Leatherface,Nov 18 1981,6' 5",205 lbs.,--,,26,19,1,--,2.80,35,4.33,35,0.00,0,100,0.0
Kristian,Rothaermel,,Jan 31 1972,6' 0",205 lbs.,--,Open Stance,4,3,0,--,0.75,50,2.49,41,0.00,0,0,0.0
Ben,Rothwell,,Oct 17 1981,6' 4",265 lbs.,78.0",Orthodox,38,13,0,--,3.55,41,4.57,46,0.63,33,69,0.3
Rick,Roufus,,--,6' 0",207 lbs.,--,Southpaw,4,6,0,--,0.53,33,1.06,33,0.00,0,50,0.0
Khalil,Rountree Jr.,,Feb 26 1990,6' 1",205 lbs.,76.0",Southpaw,9,5,0,--,3.06,38,3.63,49,0.00,0,50,0.2
Ronda,Rousey,Rowdy,Feb 01 1987,5' 7",135 lbs.,66.0",Orthodox,12,2,0,--,4.17,52,4.14,44,6.26,68,50,4.8
Ray,Routh,,--,5' 8",185 lbs.,--,Orthodox,2,1,0,--,0.54,21,3.22,28,2.69,33,0,0.0
Roberta,Rovel,Crusher,--,5' 8",145 lbs.,--,,4,1,0,--,0.87,46,3.00,26,0.00,0,100,0.0
Philip,Rowe,The Fresh Prince,Jul 18 1990,6' 3",170 lbs.,80.0",Orthodox,7,3,0,--,4.99,60,5.34,51,1.19,33,25,0.0
Kain,Royer,,--,--,185 lbs.,--,,2,2,0,--,0.00,0,1.63,14,0.00,0,0,4.1
Brad,Royster,,--,--,135 lbs.,--,,1,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Brandon,Royval,Raw Dawg,Aug 16 1992,5' 9",125 lbs.,68.0",Southpaw,12,5,0,--,3.77,46,2.88,47,0.79,100,53,2.4
Jairzinho,Rozenstruik,Bigi Boy,Mar 17 1988,6' 4",242 lbs.,78.0",Orthodox,11,2,0,--,3.14,48,3.48,39,0.00,0,80,0.0
Mauricio,Rua,Shogun,Nov 25 1981,6' 1",205 lbs.,76.0",Orthodox,27,12,1,--,3.57,50,2.71,54,2.12,48,47,0.8
Murilo,Rua,Ninja,May 22 1980,5' 11",185 lbs.,--,Orthodox,20,13,1,--,2.48,45,1.85,53,1.97,45,37,1.2
Marco,Ruas,King of the Streets,Jan 23 1961,6' 1",210 lbs.,--,Orthodox,9,4,2,--,0.00,0,0.00,0,0.00,0,0,0.0
Rodrigo,Ruas,,Oct 06 1977,5' 10",185 lbs.,--,Orthodox,4,5,1,--,1.28,35,7.00,41,0.00,0,0,0.0
Rodolfo,Rubio Perez,Fito,Jan 29 1987,5' 5",145 lbs.,--,Orthodox,10,16,1,--,1.13,36,1.00,62,2.00,33,33,0.0
Gabe,Ruediger,Godzilla,Aug 29 1977,5' 10",155 lbs.,--,Orthodox,18,8,0,--,1.70,31,5.16,41,2.04,11,28,0.0
Eddie,Ruiz,,Jun 10 1967,5' 7",155 lbs.,--,Orthodox,1,1,0,--,0.20,25,1.40,47,2.00,12,0,0.0
Anthony,Ruiz,El Toro,Nov 03 1977,6' 2",205 lbs.,--,Orthodox,33,22,0,--,2.56,64,1.67,28,1.43,31,21,0.0
Paul,Ruiz,,Jun 23 1987,5' 6",135 lbs.,--,,7,4,0,--,1.40,33,1.40,75,0.00,0,100,20.9
Mike,Russow,,Sep 11 1976,6' 1",255 lbs.,73.0",Orthodox,15,3,0,--,1.55,47,2.90,59,4.66,43,0,0.7
Bas,Rutten,El Guapo,Feb 24 1965,6' 1",205 lbs.,--,Orthodox,28,4,1,--,5.59,61,2.06,79,0.00,0,0,0.0
Casey,Ryan,,--,--,185 lbs.,--,,7,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Yusup,Saadulaev,Maestro,Mar 31 1985,5' 6",135 lbs.,--,,16,4,1,--,0.57,45,0.96,66,5.73,60,0,1.0
Pete,Sabala,,--,--,135 lbs.,--,,3,15,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Danny,Sabatello,Italian Gangster,Mar 31 1993,5' 10",135 lbs.,71.0",Orthodox,9,1,0,--,2.07,57,0.20,25,3.00,75,100,1.0
Pat,Sabatini,,Nov 09 1990,5' 8",145 lbs.,70.0",Orthodox,14,3,0,--,1.73,57,1.27,62,1.00,20,0,1.0
Amir,Sadollah,,Aug 27 1980,5' 10",170 lbs.,75.0",Orthodox,6,5,0,--,4.71,46,3.55,60,0.57,27,60,0.3
Frankie,Saenz,,Aug 12 1980,5' 6",135 lbs.,66.0",Orthodox,13,7,0,--,3.94,47,3.50,52,1.74,31,61,0.1
Saparbeg,Safarov,,Oct 14 1986,6' 1",185 lbs.,78.0",Orthodox,9,3,0,--,4.03,48,2.96,47,2.52,41,33,0.0
Tarec,Saffiedine,Sponge,Sep 06 1986,5' 10",170 lbs.,70.0",Switch,16,7,0,--,4.05,47,3.06,62,0.52,36,84,0.1
Jason,Saggo,,Nov 23 1985,5' 11",155 lbs.,71.0",Orthodox,12,4,0,--,2.50,39,2.94,52,2.33,40,23,0.0
Ovince,Saint Preux,,Apr 08 1983,6' 3",205 lbs.,80.0",Southpaw,25,15,0,--,2.68,46,3.03,45,1.19,40,66,0.6
Lukasz,Sajewski,Wookie,Nov 27 1990,5' 8",155 lbs.,71.0",Orthodox,13,3,0,--,2.06,35,3.88,57,1.01,25,66,0.0
Yukio,Sakaguchi,,Jul 26 1973,5' 9",185 lbs.,--,Orthodox,6,7,0,--,0.30,25,2.40,50,4.50,100,0,9.0
Augusto,Sakai,,May 09 1991,6' 3",265 lbs.,77.0",Orthodox,15,2,1,--,5.32,48,4.02,50,0.15,50,66,0.0
Alessio,Sakara,Legionarius,Sep 02 1981,6' 0",185 lbs.,72.0",Orthodox,19,11,0,--,3.96,47,2.80,59,2.18,78,62,0.0
Wataru,Sakata,,Mar 11 1973,5' 9",195 lbs.,--,Southpaw,11,14,0,--,1.11,61,2.08,31,0.00,0,0,0.0
Gokhan,Saki,The Rebel,Oct 19 1983,6' 0",205 lbs.,73.0",Orthodox,1,2,0,--,7.09,58,4.57,53,0.00,0,100,0.0
Kazushi,Sakuraba,The Gracie Hunter,Jul 14 1969,6' 0",185 lbs.,--,Southpaw,26,17,1,--,1.26,41,2.03,51,1.26,31,48,1.7
Hayato,Sakurai,Mach,Aug 24 1975,5' 7",168 lbs.,--,Orthodox,38,13,2,--,2.45,49,1.94,59,1.87,69,56,0.3
Ryuta,Sakurai,,--,5' 7",183 lbs.,--,Orthodox,24,24,6,--,1.80,48,3.44,58,0.52,100,36,1.6
Justin,Salas,J-Bomb,Mar 13 1982,5' 8",155 lbs.,70.0",Southpaw,12,7,0,--,3.42,43,2.96,68,2.43,20,0,0.0
Ivan,Salaverry,,Jan 11 1971,6' 0",185 lbs.,--,Orthodox,14,9,0,--,3.01,47,1.19,76,0.49,18,36,2.5
Roman,Salazar,El Gallito,Feb 21 1988,5' 7",135 lbs.,--,Orthodox,10,6,0,--,1.95,39,2.89,57,1.77,18,50,0.0
Luis,Saldana,,Jan 27 1991,5' 11",145 lbs.,73.0",Orthodox,15,6,0,--,4.39,51,1.79,64,0.00,0,42,0.6
John,Salgado,Greco,--,5' 10",170 lbs.,--,,4,8,1,--,0.99,50,1.86,40,0.00,0,50,0.0
Muslim,Salikhov,King of Kung Fu,Jun 09 1984,5' 11",170 lbs.,70.0",Orthodox,17,2,0,--,2.85,46,2.29,67,0.87,30,80,0.0
Gabriel,Salinas-Jones,,Nov 20 1984,6' 1",245 lbs.,--,,5,2,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Brandon,Saling,White Steel,Jan 28 1986,5' 10",170 lbs.,--,,8,6,0,--,2.88,40,6.08,20,0.00,0,57,0.0
Sean,Salmon,,Sep 11 1977,5' 10",185 lbs.,--,Southpaw,18,21,0,--,1.49,33,2.03,65,4.06,50,0,0.0
Boston,Salmon,Boom Boom,Nov 20 1990,5' 9",135 lbs.,69.0",Southpaw,6,3,0,--,4.13,37,7.75,59,0.00,0,100,0.0
John,Salter,,Mar 21 1985,6' 1",185 lbs.,74.0",Southpaw,14,3,0,--,1.68,32,1.68,68,2.85,46,66,0.5
Vinicius,Salvador,,--,--,135 lbs.,--,,12,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Josh,Samman,Anqa,Mar 14 1988,6' 3",185 lbs.,79.0",Orthodox,13,4,0,--,2.08,52,2.47,34,1.09,33,33,0.4
Johnny,Sampaio,,Sep 11 1975,5' 8",170 lbs.,--,Orthodox,3,1,0,--,1.32,40,2.64,50,9.89,50,0,9.9
Josh,Sampo,The Gremlin,Jul 24 1984,5' 4",125 lbs.,64.0",Orthodox,11,5,0,--,1.99,36,2.96,55,1.06,33,40,2.1
Josh,San Diego,JSD,--,5' 10",135 lbs.,--,,8,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Diego,Sanchez,Nightmare,Dec 31 1981,5' 10",170 lbs.,72.0",Southpaw,31,13,0,--,2.69,37,3.02,56,1.51,24,46,0.8
Eddie,Sanchez,The Manic Hispanic,Nov 04 1982,6' 2",230 lbs.,74.0",Orthodox,15,8,0,--,3.45,43,3.30,43,1.13,26,42,0.0
Julian,Sanchez,,--,6' 3",300 lbs.,--,Orthodox,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Bobby,Sanchez,The Kid,--,5' 7",155 lbs.,--,Orthodox,10,35,0,--,0.00,0,0.00,100,0.00,0,100,0.0
Donald,Sanchez,,Aug 18 1984,5' 10",145 lbs.,--,,31,17,0,--,0.58,50,1.16,55,0.00,0,50,0.0
Joby,Sanchez,,Jun 24 1991,5' 6",135 lbs.,68.0",Orthodox,11,4,0,--,3.22,36,2.82,63,0.95,71,51,0.4
Emmanuel,Sanchez,El Matador,Aug 11 1990,5' 9",145 lbs.,71.0",,15,3,0,--,4.45,35,4.17,55,0.25,6,16,0.5
Erick,Sanchez,,Oct 04 1990,5' 10",145 lbs.,--,,8,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Andrew,Sanchez,El Dirte,Apr 08 1988,6' 1",185 lbs.,74.0",Orthodox,13,6,0,--,4.48,42,5.05,51,1.92,31,100,0.0
Robert,Sanchez,Littlefury,Mar 05 1986,5' 6",125 lbs.,66.0",Orthodox,8,2,0,--,0.96,40,1.78,46,3.61,62,50,0.7
Jesse,Sanders,,--,6' 0",170 lbs.,--,Orthodox,23,7,0,--,0.00,0,6.45,35,0.00,0,50,0.0
Luke,Sanders,Cool Hand,Dec 12 1985,5' 6",135 lbs.,67.0",Southpaw,13,5,0,--,6.61,52,4.37,50,0.71,30,72,0.2
Jerrod,Sanders,J-Reazie,Oct 01 1979,5' 8",135 lbs.,72.0",Orthodox,16,3,0,--,0.88,64,1.14,46,2.20,33,50,1.6
Cory,Sandhagen,,Apr 20 1992,5' 11",135 lbs.,70.0",Switch,14,2,0,--,6.85,48,3.89,59,1.07,50,30,0.5
Hugo,Sandoval,,--,--,135 lbs.,--,,2,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Raul,Sandoval,,--,--,130 lbs.,--,,3,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Joseph,Sandoval,,May 11 1986,5' 7",135 lbs.,--,Southpaw,7,7,0,--,1.82,42,12.12,60,0.00,0,0,0.0
Hector,Sandoval,Kid Alex,Jul 19 1986,5' 2",125 lbs.,64.0",Orthodox,14,4,0,--,3.31,52,2.33,65,3.49,25,71,1.4
Chris,Sanford,,Mar 12 1968,5' 11",185 lbs.,--,Orthodox,5,1,0,--,0.23,50,3.22,17,0.00,0,0,3.5
Roldan,Sangcha'an,The Executioner,Dec 04 1990,5' 4",125 lbs.,--,Orthodox,4,2,0,--,2.71,46,2.15,51,1.94,60,68,0.0
Yuhi,Sano,,Feb 02 1965,5' 11",243 lbs.,--,Orthodox,0,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jonathan,Santa Maria,,--,5' 9",125 lbs.,--,,3,4,0,--,3.60,51,2.53,74,0.00,0,80,0.0
Duda,Santana,Cowboyzinha,Jan 10 1996,5' 7",145 lbs.,73.0",Orthodox,3,1,0,--,6.01,39,2.72,73,6.44,60,0,0.0
Shaheen,Santana,Shazam,Jun 04 1991,6' 1",155 lbs.,75.0",Orthodox,6,1,0,--,0.82,42,1.65,40,0.00,0,0,2.8
Sean,Santella,Shorty Rock,Oct 25 1984,5' 5",125 lbs.,--,,17,6,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Jorge,Santiago,The Sandman,Oct 09 1980,6' 1",170 lbs.,75.0",Orthodox,25,12,0,--,1.69,35,2.62,56,0.58,30,52,0.8
Mike,Santiago,,Jul 28 1989,5' 10",145 lbs.,69.0",Orthodox,19,12,0,--,3.44,49,3.58,36,2.66,50,53,1.1
Will,Santiago,The Brown Bomber,Feb 08 1983,5' 7",185 lbs.,--,Orthodox,9,5,0,--,1.47,39,5.53,56,1.00,50,100,0.0
Richie,Santiago,The Milford Mauler,Oct 10 1992,5' 7",135 lbs.,67.0",Southpaw,7,2,0,--,3.87,49,4.87,42,0.00,0,25,0.0
Jose,Santibanez,,Jan 18 1980,--,155 lbs.,--,,10,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Art,Santore,Pachuco,Oct 26 1972,6' 2",185 lbs.,--,,18,8,0,--,1.40,12,7.31,52,0.00,0,100,0.0
Adriano,Santos,,--,--,--,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Paulo,Santos,,--,--,--,--,,0,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Evangelista,Santos,Cyborg,Dec 12 1977,5' 10",170 lbs.,76.0",Orthodox,21,18,0,--,3.94,36,6.01,49,0.78,100,50,0.4
Luis,Santos,,--,6' 1",170 lbs.,--,Southpaw,63,10,1,--,4.40,57,4.00,64,0.00,0,0,0.0
Iliarde,Santos,,Sep 25 1980,5' 5",125 lbs.,67.0",Orthodox,30,13,1,--,3.00,30,6.10,57,1.66,23,83,0.0
Leonardo,Santos,,Feb 05 1980,6' 0",155 lbs.,75.0",Orthodox,18,5,1,--,2.65,44,2.77,58,1.07,29,89,0.3
Thiago,Santos,Marreta,Jan 07 1984,6' 2",205 lbs.,76.0",Orthodox,21,9,0,--,4.27,48,2.33,55,0.70,38,66,0.1
Bruno,Santos,Carioca,Jul 17 1987,5' 9",185 lbs.,--,Orthodox,15,2,0,--,1.18,46,2.27,56,3.00,37,66,0.3
Andre,Santos,Chatuba,--,6' 0",170 lbs.,--,,38,10,0,--,2.77,34,4.17,41,2.50,29,75,0.0
Gleristone,Santos,Toninho Furia,Aug 20 1988,5' 9",145 lbs.,--,,33,7,0,--,3.40,31,4.40,64,0.00,0,75,0.0
Taila,Santos,,Jun 22 1993,5' 6",125 lbs.,68.0",Orthodox,17,1,0,--,3.52,48,2.22,59,2.00,80,85,1.0
Marilia,Santos,Chocolate,Dec 12 1992,5' 4",125 lbs.,--,Orthodox,10,3,0,--,4.40,54,4.07,53,1.00,100,66,1.0
Edivan,Santos,Pe De Sapo,May 03 1992,6' 7",185 lbs.,--,,12,2,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Nick,Sanzo,,--,5' 9",190 lbs.,--,,1,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Bob,Sapp,The Beast,Sep 22 1974,6' 5",350 lbs.,--,Orthodox,11,20,0,--,3.19,55,1.88,49,0.58,100,72,0.0
Daniel,Sarafian,,Aug 21 1982,5' 9",185 lbs.,73.0",Orthodox,10,6,0,--,2.23,46,3.10,58,0.36,7,53,0.7
Diego,Saraiva,The Octopus,Apr 23 1982,5' 6",155 lbs.,--,Orthodox,22,20,1,--,1.64,32,3.58,62,1.33,40,0,0.7
Harris,Sarmiento,The Hitman,Sep 09 1983,5' 9",155 lbs.,--,Orthodox,36,26,0,--,0.84,25,3.46,36,2.36,60,57,0.0
Alexander,Sarnavskiy,Tiger,Jan 17 1989,5' 11",155 lbs.,--,,35,6,0,--,1.43,66,2.06,42,0.00,0,75,0.0
